from,to,wind_hours,point_distance_km,cell_distance_km
63,3,1613.099057128663,2986.4793618841186,2989.1395705274126
64,3,719.0170651587975,1148.8830658199722,1152.7053886762985
65,3,720.0339992849159,1020.0995483100145,1020.086389096413
66,3,717.542158720297,1015.8307423119655,1013.4189872625143
67,3,773.3418778507718,1089.614710282115,1091.438940395696
68,3,773.7136677809643,1097.3018313536081,1099.5972722796262
69,3,2063.189643339302,3443.3502846194383,3442.8635895448106
70,3,2065.244585596709,3438.0624938345545,3439.0612215002534
71,3,1165.1205705255863,1737.164651976445,1736.907440846562
72,3,761.9189674287062,1310.6537646793552,1308.2646979751905
73,3,1151.5853288921157,2441.2078358445287,2439.0600819419324
74,3,1535.7200749005867,2404.233820839894,2404.381720931444
75,3,1533.9857090164755,2397.9870728122937,2396.560913487784
76,3,1519.4948712733124,2358.4886342373075,2357.949748240822
77,3,1532.2055851641096,2365.202029831214,2362.6921827495567
78,3,936.4426742864978,1576.0552805149032,1576.722697599349
79,3,662.1053400115377,1353.3676856739094,1352.2091055628716
80,3,662.1053400115377,1352.982130126305,1352.2091055628716
81,3,637.4794040699435,1281.926902022511,1283.441046031492
82,3,635.6137292251849,1277.4673131396903,1276.8318997714828
83,3,1981.2118877212392,3133.493161473846,3136.193646911236
84,3,1733.411027848246,3815.2186684263206,3815.076366106891
85,3,756.0753169072364,1883.312664872405,1880.898135893891
86,3,756.0753169072364,1881.181329747068,1880.898135893891
87,3,758.2802212182121,1884.0695757743854,1887.5817101500697
88,3,1143.4220200524242,1720.6969990795858,1719.5784764944294
89,3,2047.2119727087436,3265.7403225185953,3268.81079871096
90,3,2096.50523132035,3366.5781206075894,3367.1164253060165
91,3,958.5007543967415,1932.5307958858843,1931.8097683513672
92,3,982.3082903591219,1934.975817063612,1932.293401024304
93,3,1493.697216449968,2508.646181659429,2509.1224009754137
94,3,1349.0992258224915,2038.5425112940627,2038.9379790237147
95,3,1073.3754230306326,1783.6918808425078,1782.398279201133
96,3,1758.7530852817513,3224.924152345878,3224.6286456110206
97,3,1155.0334499154717,2371.8912413064954,2372.768324453269
98,3,1359.6129593809246,2073.8377528399506,2074.8389159022404
99,3,1293.7301639956434,3048.0510017186107,3044.8800156997127
100,3,1426.5744028217332,3126.5178094877447,3129.2542881767913
101,3,1428.6773363708849,3133.970819677615,3135.417928686075
102,3,1391.8828976696886,3070.9626710350162,3073.2308602693056
103,3,1128.7346775442124,2268.866804332564,2268.301701505351
104,3,1360.9308118001045,2027.2123147162777,2025.503879442764
105,3,2073.3096374128995,3249.1538088730754,3250.017043958329
106,3,2062.246741175033,3235.288402099818,3236.134062114619
107,3,818.3077512308158,1377.7048468224646,1379.2118404789576
108,3,486.8812963106858,1048.0575038855757,1051.9218612556765
109,3,1035.3399963820432,1614.9076033949366,1616.2078114607925
110,3,1006.2618277379593,1580.361493990083,1580.1321863854487
111,3,1043.1651901598466,1622.7727974045654,1619.3322599223118
112,3,1049.365652976867,1630.6934262126922,1627.7851493058424
113,3,777.7993037865423,1087.8070257138427,1091.1013489415664
1,4,14.574201438379259,28.629396317572724,28.626359731318747
2,4,14.042463395031533,28.437455568212926,28.41293665147321
3,4,0.9660188071433365,0.8341697878325128,0.8464791007993824
4,4,0,0,0
5,4,484.2031010595405,1066.1386532337356,1068.4690147685294
6,4,1029.0242507291862,2168.2863498602796,2166.969125163334
7,4,1029.0242507291862,2167.1365245076977,2166.969125163334
8,4,1157.1674595638565,2740.613971703464,2739.5709895790283
9,4,2280.870540660631,3342.5989253270595,3344.6283887410077
10,4,292.04322164232184,588.3055135271918,591.2081267708462
11,4,311.43101948891905,616.5014514642527,620.073276121207
12,4,310.7053735594573,623.0650088810631,622.0882509332914
13,4,261.84649327164647,578.9872067826384,579.2647768565267
14,4,261.3992191385191,569.0942658041367,568.6082091870809
15,4,273.7716201865556,536.0083360800893,537.6158678919774
16,4,269.23345261825784,533.0516716677967,531.4406803063301
17,4,2036.1628374781021,3260.346062720877,3262.2989344994626
18,4,1046.9086810645838,2148.4274358774214,2146.282492853222
19,4,865.8040530882822,1854.3444830771823,1852.3219848255349
20,4,870.9987582815904,1857.2445955597673,1859.1580832840323
21,4,889.6750365528294,1851.9012514702188,1853.115027990857
22,4,888.4822072932643,1846.5247059775422,1845.4441869206835
23,4,900.326766242262,1837.7580261869284,1836.2003879500382
24,4,900.326766242262,1837.5584080299345,1836.2003879500382
25,4,1205.8239121838262,2701.397232825754,2704.9117722264173
26,4,1165.1205705255863,1738.7104652564144,1736.907440846562
27,4,1165.1205705255863,1736.749935007858,1736.907440846562
28,4,1169.8652420732644,1739.8626837341822,1738.8794662808723
29,4,1177.6538359023136,1749.7948307913807,1751.2820430129345
30,4,1212.2066559870198,1806.576052642239,1809.7567912496297
31,4,1183.8107385369842,1807.6793150902504,1810.8192054292003
32,4,1201.1236002772716,1809.2866034468109,1812.627589912
33,4,1090.5489274741608,1685.1430862075542,1687.1480569971743
34,4,2179.3538124000393,3354.6433408546304,3357.062325963208
35,4,2220.6512381727453,3382.1757395274803,3385.69725745428
36,4,822.5935939667459,1382.2652246635043,1381.8630824367551
37,4,1048.546182521813,2021.737966843176,2020.3196427617388
38,4,1741.6708875734143,3241.4136363146235,3239.3188232073812
39,4,1714.63666451847,3992.653241931329,3994.6057653351854
40,4,1723.1381608966517,3797.367149467048,3795.5887495168404
41,4,1709.7063989326055,3786.592334100732,3787.526829386238
42,4,2058.938764693419,3200.232970272352,3200.9152430478002
43,4,1783.5467122480054,5754.947367426464,5756.008317715479
44,4,2250.222295550661,3385.952315411859,3383.070471757492
